                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96118,                 2.8348,                0.97267,                 0.4699,                0.18571,                0.13536,                0.06924,                    nan,                    nan,                    nan,                0.00044,                0.00044,                0.00044
                      2,                 0.9116,                0.85554,                 1.0038,                 0.4699,                0.18571,                0.13536,                0.06924,                    nan,                    nan,                    nan,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.0199,                0.79598,                 1.0622,                 0.4699,                0.18571,                0.13536,                0.06924,                      0,                    inf,                      0,              0.0013331,              0.0013331,              0.0013331
                      4,                0.97698,                 0.8101,                 1.0269,                 0.4699,                0.18571,                0.13536,                0.06924,                 4.2984,                    inf,                 66.067,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.1115,                0.90016,                 1.0951,                0.00029,                0.04286,                0.00016,                  3e-05,                 3.5011,                 8.0746,                  11.32,              0.0019208,              0.0019208,              0.0019208
                      6,                0.97105,                0.71729,                 1.0652,                0.00116,                0.11429,                0.00058,                0.00027,                 3.6556,                 170.38,                 16.394,               0.001901,               0.001901,               0.001901
                      7,                0.87321,                0.63079,                 1.0142,                0.71677,                0.37143,                0.38917,                0.22209,                 2.2272,                 4.8821,                 2.3041,              0.0018812,              0.0018812,              0.0018812
                      8,                0.93544,                0.63611,                 1.0235,                0.78704,                0.72857,                0.82012,                0.46172,                 1.4122,                 1.0404,                 1.3189,              0.0018614,              0.0018614,              0.0018614
                      9,                0.84979,                0.58291,                0.99225,                0.86496,                0.88571,                0.94284,                0.53357,                 1.3405,                0.90893,                 1.2768,              0.0018416,              0.0018416,              0.0018416
                     10,                0.78894,                0.54349,                0.97305,                0.97007,                0.92609,                0.97968,                0.58357,                  1.384,                0.86293,                 1.2979,              0.0018218,              0.0018218,              0.0018218
                     11,                0.81158,                0.55029,                0.97997,                0.95218,                0.85335,                0.95821,                0.59685,                 1.6812,                0.90399,                 1.5658,               0.001802,               0.001802,               0.001802
                     12,                0.78732,                0.52841,                 0.9623,                0.78313,                    0.7,                0.79001,                0.47536,                 1.4475,                 1.1745,                 1.2128,              0.0017822,              0.0017822,              0.0017822
                     13,                0.76501,                0.51912,                0.95738,                0.94371,                  0.958,                0.98221,                0.65223,                 1.1279,                0.69583,                 1.1521,              0.0017624,              0.0017624,              0.0017624
                     14,                0.77429,                0.51777,                0.95736,                0.94012,                0.89723,                0.96558,                 0.6058,                 1.3531,                0.78982,                 1.2821,              0.0017426,              0.0017426,              0.0017426
                     15,                0.78188,                0.53371,                0.96811,                0.93248,                0.95714,                0.97637,                   0.61,                 1.4344,                 1.0297,                  1.302,              0.0017228,              0.0017228,              0.0017228
                     16,                0.76135,                 0.4856,                0.94911,                0.95805,                0.97891,                0.98904,                0.66875,                 1.2445,                0.73897,                  1.228,               0.001703,               0.001703,               0.001703
                     17,                0.76363,                 0.4876,                0.95649,                0.98302,                0.97143,                0.99003,                0.63999,                 1.2445,                0.62887,                 1.2589,              0.0016832,              0.0016832,              0.0016832
                     18,                0.76887,                0.47342,                0.95301,                0.94816,                0.97143,                0.99161,                0.62156,                 1.3752,                0.70928,                 1.2258,              0.0016634,              0.0016634,              0.0016634
                     19,                0.69648,                0.45466,                 0.9186,                0.95384,                0.98571,                0.98894,                 0.6927,                 1.1925,                 0.6772,                 1.1846,              0.0016436,              0.0016436,              0.0016436
                     20,                0.68783,                0.43592,                0.91928,                0.95772,                0.94286,                 0.9843,                 0.6482,                 1.3026,                0.70012,                 1.2046,              0.0016238,              0.0016238,              0.0016238
                     21,                0.64825,                0.43055,                0.91758,                0.95562,                      1,                0.98946,                0.66789,                 1.0792,                0.71684,                 1.1407,               0.001604,               0.001604,               0.001604
                     22,                0.67969,                0.43431,                0.91166,                0.75402,                0.64286,                 0.7523,                0.44926,                 1.3826,                  1.179,                 1.2847,              0.0015842,              0.0015842,              0.0015842
                     23,                0.65918,                0.42723,                0.91875,                0.94584,                0.99793,                 0.9834,                0.71357,                0.98892,                0.61299,                 1.0732,              0.0015644,              0.0015644,              0.0015644
                     24,                0.63371,                0.40688,                0.91574,                 0.9576,                      1,                0.98633,                0.72282,                 1.1967,                0.63222,                 1.1241,              0.0015446,              0.0015446,              0.0015446
                     25,                0.62624,                0.39792,                0.89484,                0.93147,                      1,                0.98046,                0.70954,                 1.0607,                0.67118,                 1.0901,              0.0015248,              0.0015248,              0.0015248
                     26,                0.63499,                0.40013,                0.90748,                0.97982,                      1,                0.99359,                0.71286,                 1.1754,                 0.6346,                 1.1248,               0.001505,               0.001505,               0.001505
                     27,                0.61054,                0.39386,                0.89346,                0.96917,                      1,                0.99032,                0.70945,                  1.123,                0.71727,                 1.1523,              0.0014852,              0.0014852,              0.0014852
                     28,                0.63267,                0.41214,                0.89879,                0.95332,                      1,                0.98393,                0.72932,                 1.0702,                0.74277,                 1.1498,              0.0014654,              0.0014654,              0.0014654
                     29,                0.60407,                0.38909,                0.88502,                0.98313,                      1,                  0.995,                0.76235,                 1.0756,                0.54759,                 1.1101,              0.0014456,              0.0014456,              0.0014456
                     30,                0.59261,                0.38088,                0.88399,                0.95887,                0.99918,                0.98588,                 0.7381,                 1.0332,                0.63061,                 1.0765,              0.0014258,              0.0014258,              0.0014258
                     31,                0.60402,                0.38098,                0.89372,                 0.9847,                      1,                0.99331,                0.72309,                 1.0395,                0.59736,                 1.0809,               0.001406,               0.001406,               0.001406
                     32,                0.60256,                0.37028,                0.89567,                0.95659,                      1,                 0.9844,                0.70551,                  1.162,                0.79217,                 1.1723,              0.0013862,              0.0013862,              0.0013862
                     33,                0.58541,                0.36549,                0.88769,                0.94519,                0.98571,                0.97719,                0.67481,                 1.1905,                0.75226,                 1.1745,              0.0013664,              0.0013664,              0.0013664
                     34,                0.59165,                0.38204,                0.87672,                0.90596,                0.96348,                0.96956,                0.64967,                 1.2446,                0.75468,                  1.203,              0.0013466,              0.0013466,              0.0013466
                     35,                0.61812,                   0.39,                0.88032,                0.99724,                0.98571,                0.99459,                0.70541,                 1.2969,                0.60291,                 1.2305,              0.0013268,              0.0013268,              0.0013268
